Id,Title,Name,Price,Image
669888863,JAKARLI,Unisex Pamuk Bebe,"499,90 TL",https://cdn.dsmcdn.com/ty1005/product/media/images/prod/SPM/PIM/20230926/11/c00dbc57-096c-3d0c-be36-64d115d4cab4/1_org.jpg
323109051,Doğannboss,Kadın Happıness,95 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/23/2c246016-16bc-3dc1-9cda-074a48e5c156/1_org.jpg
809069363,Ltb,Logolu Siyah T-shırt,124 TL,https://cdn.dsmcdn.com/ty1190/product/media/images/prod/SPM/PIM/20240302/04/406300bd-4491-3dd0-93ff-b37a72725a46/1_org.jpg
691981032,Madmext,Lacivert Bisiklet,"279,99 TL",https://cdn.dsmcdn.com/ty1277/product/media/images/prod/SPM/PIM/20240426/15/4954ddbb-2513-3008-99c7-01971945ba5d/1_org.jpg
302845769,Doğannboss,Minimal Kalp,240 TL,https://cdn.dsmcdn.com/ty1325/product/media/images/prod/QC/20240522/23/fe4afa9b-2588-3025-83f5-38e83822f041/1_org.jpg
832099132,TRENDKOLİK,Trend Selection -,124 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240525/15/4d64abcc-5b30-37c0-984e-47d1a693ccd5/1_org.jpg
98112550,U.S. Polo Assn.,Beyaz Kadın,229 TL,https://cdn.dsmcdn.com/ty102/product/media/images/20210414/18/80135409/163295413/1/1_org.jpg
803241005,BEGRİFF,Unisex Sunny Mood,529 TL,https://cdn.dsmcdn.com/ty1206/product/media/images/prod/SPM/PIM/20240313/17/7d0f8838-499e-3711-9c63-b57550b7da71/1_org.jpg
830470456,Teenage Millionaire,Kadın,"49,90 TL",https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/09/33f063c1-da6f-364a-bbfc-a456965ef2f8/1_org.jpg
316454312,JAKARLI,Unisex Bordo Bisiklet,"199,90 TL",https://cdn.dsmcdn.com/ty461/product/media/images/20220622/18/129037685/505158582/1/1_org.jpg
78157330,viptasarımtshirt,Unisex,115 TL,https://cdn.dsmcdn.com/ty1324/product/media/images/prod/QC/20240522/22/29dc6269-d60d-3812-acde-d129537917db/1_org.jpg
83713116,Under Armour,Live Sportstyle,124 TL,https://cdn.dsmcdn.com/ty70/product/media/images/20210216/15/63343635/140928535/1/1_org.jpg
827217962,uyguntarz,Unisex Mood Baskılı,520 TL,https://cdn.dsmcdn.com/ty1299/product/media/images/prod/SPM/PIM/20240507/11/9f18798b-3ed7-3271-8080-0cfb5665b815/1_org.jpg
3410328,Mavi,Stretch Beyaz Basic,"124,90 TL",https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240521/20/4eabe338-10ec-35b0-a4dd-81cf29b772d1/1_org.jpg
824852063,Teenage Millionaire,Kadın,"269,99 TL",https://cdn.dsmcdn.com/ty1318/product/media/images/prod/QC/20240517/11/7e099fb7-0bf1-3027-b51b-e101d5573e99/1_org.jpg
802124383,RASCHA,Kadın Mor V Yaka,185 TL,https://cdn.dsmcdn.com/ty1154/product/media/images/prod/SPM/PIM/20240201/13/9e60bb40-3d43-35fb-9968-f03c84047d20/1_org.jpg
754328989,Seyyar,Crop Bisiklet Yaka,"195,90 TL",https://cdn.dsmcdn.com/ty1326/product/media/images/prod/QC/20240519/00/24aa4b31-251f-3435-aa36-6b17ea8f1890/1_org.jpg
